ISO_Year,WeekOfYear,Neighborhood,Predicted,Actual,Error,AE
2024,1,ABELL,2,1,1,1
2024,1,ALLENDALE,4,1,3,3
2024,1,ARCADIA,2,2,0,0
2024,1,ARLINGTON,2,4,-2,2
2024,1,ARMISTEAD GARDENS,3,2,1,1
2024,1,BALTIMORE HIGHLANDS,4,3,1,1
2024,1,BARCLAY,4,1,3,3
2024,1,BAYVIEW,2,2,0,0
2024,1,BEECHFIELD,3,6,-3,3
2024,1,BELAIR-EDISON,14,27,-13,13
2024,1,BEREA,3,2,1,1
2024,1,BETTER WAVERLY,5,6,-1,1
2024,1,BEVERLY HILLS,1,1,0,0
2024,1,BIDDLE STREET,2,2,0,0
2024,1,BOLTON HILL,4,4,0,0
2024,1,BOYD-BOOTH,2,3,-1,1
2024,1,BREWERS HILL,2,2,0,0
2024,1,BRIDGEVIEW/GREENLAWN,2,3,-1,1
2024,1,BROADWAY EAST,4,1,3,3
2024,1,BROENING MANOR,2,2,0,0
2024,1,BROOKLYN,10,19,-9,9
2024,1,CALLAWAY-GARRISON,2,5,-3,3
2024,1,CAMERON VILLAGE,2,4,-2,2
2024,1,CANTON,10,12,-2,2
2024,1,CANTON INDUSTRIAL AREA,6,11,-5,5
2024,1,CARE,3,3,0,0
2024,1,CARROLL - CAMDEN INDUSTRIAL AREA,4,4,0,0
2024,1,CARROLL-SOUTH HILTON,2,4,-2,2
2024,1,CARROLLTON RIDGE,3,12,-9,9
2024,1,CEDMONT,3,2,1,1
2024,1,CEDONIA,3,1,2,2
2024,1,CENTRAL FOREST PARK,2,1,1,1
2024,1,CENTRAL PARK HEIGHTS,7,12,-5,5
2024,1,CHARLES NORTH,3,1,2,2
2024,1,CHARLES VILLAGE,5,7,-2,2
2024,1,CHERRY HILL,9,10,-1,1
2024,1,CHESWOLDE,3,3,0,0
2024,1,COLDSPRING,1,1,0,0
2024,1,COLDSTREAM HOMESTEAD MONTEBELLO,7,5,2,2
2024,1,CONCERNED CITIZENS OF FOREST PARK,2,1,1,1
2024,1,COPPIN HEIGHTS/ASH-CO-EAST,2,5,-3,3
2024,1,CURTIS BAY,5,11,-6,6
